date;close
2022-01-03;11327.51953125
2022-01-04;11356.7998046875
2022-01-05;11453.080078125
2022-01-06;11430.509765625
2022-01-09;11560.4697265625
2022-01-10;11664.830078125
2022-01-11;11843.5498046875
2022-01-12;11957.080078125
2022-01-13;12079.009765625
2022-01-16;12110.150390625
2022-01-17;12165.83984375
2022-01-18;12193.75
2022-01-19;12260.1298828125
2022-01-20;12290.9599609375
2022-01-23;12139.830078125
2022-01-24;12068.4296875
2022-01-25;12108.5595703125
2022-01-26;12182.509765625
2022-01-27;12179.3203125
2022-01-30;12259.25
2022-01-31;12271.83984375
2022-02-01;12293.3798828125
2022-02-02;12192.6103515625
2022-02-03;12142.3798828125
2022-02-06;12204.4501953125
2022-02-07;12249.1904296875
2022-02-08;12225.8798828125
2022-02-09;12205.4697265625
2022-02-10;12268.7099609375
2022-02-13;12029.0400390625
2022-02-14;12204.580078125
2022-02-15;12350.6396484375
2022-02-16;12495.2197265625
2022-02-17;12476.5400390625
2022-02-20;12463.169921875
2022-02-21;12561.599609375
2022-02-23;12527.6298828125
2022-02-24;12297.6201171875
2022-02-27;12417.5595703125
2022-02-28;12590.259765625
2022-03-01;12674.33984375
2022-03-02;12654.650390625
2022-03-03;12756.3095703125
2022-03-06;12804.2197265625
2022-03-07;12808.0302734375
2022-03-08;12851.2197265625
2022-03-09;12738.58984375
2022-03-10;12684.16015625
2022-03-13;12605.400390625
2022-03-14;12492.1396484375
2022-03-15;12407.599609375
2022-03-16;12656.23046875
2022-03-17;12769.2099609375
2022-03-20;12875.7998046875
2022-03-21;12831.6904296875
2022-03-22;12881.4501953125
2022-03-23;12944.16015625
2022-03-24;12948.3701171875
2022-03-27;12999.73046875
2022-03-28;13064.1103515625
2022-03-29;13101.3603515625
2022-03-30;13038.2197265625
2022-03-31;13090.400390625
2022-04-03;13082.759765625
2022-04-04;13165.33984375
2022-04-05;13206.8798828125
2022-04-06;13255.9599609375
2022-04-07;13313.98046875
2022-04-10;13395.4599609375
2022-04-11;13483.23046875
2022-04-12;13646.1201171875
2022-04-13;13540.26953125
2022-04-14;13621.080078125
2022-04-18;13733.1396484375
2022-04-19;13505.5703125
2022-04-20;13668.5400390625
2022-04-21;13534.400390625
2022-04-24;13463.08984375
2022-04-25;13543.25
2022-04-26;13503.490234375
2022-04-27;13643.91015625
2022-04-28;13733.8701171875
2022-05-08;13820.349609375
2022-05-09;13814.849609375
2022-05-10;13509.3095703125
2022-05-11;13379.080078125
2022-05-12;12835.2998046875
2022-05-15;13149.2900390625
2022-05-16;12914.8896484375
2022-05-17;12689.8701171875
2022-05-18;12713.3798828125
2022-05-19;12427.9599609375
2022-05-22;12334.9404296875
2022-05-23;12235.91015625
2022-05-24;12300.8603515625
2022-05-25;12588.8896484375
2022-05-26;12530.33984375
2022-05-29;12689.009765625
2022-05-30;12907.169921875
2022-05-31;12921.740234375
2022-06-01;12766.4697265625
2022-06-02;12605.009765625
2022-06-05;12656.0498046875
2022-06-06;12821.9599609375
2022-06-07;12662.75
2022-06-08;12596.2998046875
2022-06-09;12603.8896484375
2022-06-12;12322.349609375
2022-06-13;12053.4404296875
2022-06-14;12020.6796875
2022-06-15;11978.509765625
2022-06-16;11824.419921875
2022-06-19;11299.1796875
2022-06-20;11361.5302734375
2022-06-21;11659.6396484375
2022-06-22;11319.8798828125
2022-06-23;11310.669921875
2022-06-26;11513.009765625
2022-06-27;11427.259765625
2022-06-28;11671.150390625
2022-06-29;11727.1904296875
2022-06-30;11523.25
2022-07-03;11464.98046875
2022-07-04;11358.400390625
2022-07-05;11344.5703125
2022-07-06;11416.5400390625
2022-07-13;11289.75
2022-07-14;11163.01953125
2022-07-17;11292.41015625
2022-07-18;11555.080078125
2022-07-19;11761.349609375
2022-07-20;11864.33984375
2022-07-21;11987.9697265625
2022-07-24;11975.1396484375
2022-07-25;11874.2197265625
2022-07-26;11964.2099609375
2022-07-27;12052.1796875
2022-07-28;12155.01953125
2022-07-31;12199.080078125
2022-08-01;12338.9501953125
2022-08-02;12310.6298828125
2022-08-03;12291.9296875
2022-08-04;12291.5400390625
2022-08-07;12216.83984375
2022-08-08;12297.2900390625
2022-08-09;12329.990234375
2022-08-10;12431.4501953125
2022-08-11;12530.759765625
2022-08-15;12543.76953125
2022-08-16;12545.1396484375
2022-08-17;12646.740234375
2022-08-18;12621.73046875
2022-08-21;12554.5
2022-08-22;12560.48046875
2022-08-23;12420.76953125
2022-08-24;12443.76953125
2022-08-25;12591.740234375
2022-08-28;12526.1103515625
2022-08-29;12530.66015625
2022-08-30;12455.650390625
2022-08-31;12283.330078125
2022-09-01;12142.650390625
2022-09-05;12099.83984375
2022-09-06;11994.7197265625
2022-09-07;11863.8095703125
2022-09-08;11834.259765625
2022-09-11;11940.3603515625
2022-09-12;12022.1201171875
2022-09-13;12084.4501953125
2022-09-14;11893.26953125
2022-09-15;11829.5400390625
2022-09-18;11572.1796875
2022-09-19;11446.330078125
2022-09-20;11503.599609375
2022-09-21;11461.08984375
2022-09-25;11161.3798828125
2022-09-26;10909.1796875
2022-09-27;11017.3798828125
2022-09-28;11170.080078125
2022-09-29;11405.3203125
2022-10-02;11487.0703125
2022-10-03;11607.9599609375
2022-10-04;11780.41015625
2022-10-05;11770.3203125
2022-10-06;11757.7900390625
2022-10-09;11566.4501953125
2022-10-10;11530.3701171875
2022-10-11;11514.259765625
2022-10-12;11551.33984375
2022-10-13;11421.7802734375
2022-10-17;11566.3798828125
2022-10-18;11809.9501953125
2022-10-19;11795.099609375
2022-10-20;11963.6796875
2022-10-23;12006.58984375
2022-10-24;12075.26953125
2022-10-25;11973.8603515625
2022-10-26;11798.76953125
2022-10-27;11709.5
2022-10-30;11632.330078125
2022-10-31;11667.7998046875
2022-11-01;11530.4404296875
2022-11-02;11530.2900390625
2022-11-03;11439.1904296875
2022-11-06;11521.2802734375
2022-11-07;11598.759765625
2022-11-08;11486.5302734375
2022-11-09;11407.1796875
2022-11-10;11211.7001953125
2022-11-13;11246.9296875
2022-11-14;11197.4599609375
2022-11-15;11096.580078125
2022-11-16;11151.240234375
2022-11-17;11142.01953125
2022-11-21;10930.509765625
2022-11-22;10965.41015625
2022-11-24;10938.75
2022-11-27;10796.4599609375
2022-11-28;10746.6396484375
2022-11-29;10752.009765625
2022-11-30;10896.91015625
2022-12-01;10822.650390625
2022-12-04;10723.9501953125
2022-12-05;10419.150390625
2022-12-06;10444.26953125
2022-12-07;10185.1396484375
2022-12-08;10246.6103515625
2022-12-11;10138.3095703125
2022-12-12;10033.1904296875
2022-12-13;10221.1396484375
2022-12-14;10248.1201171875
2022-12-15;10290.419921875
2022-12-18;10251.6796875
2022-12-19;10186.1796875
2022-12-20;10280.150390625
2022-12-21;10276.9404296875
2022-12-22;10215.7900390625
2022-12-25;10234.51953125
2022-12-26;10228.6396484375
