date;code;n_events;tone_sum;tone_cnt;n_14;n_17;n_18;n_19;n_20
2023-02-08;TW;528;-228.5388114644097;528;5.0;1.0;0.0;12.0;0.0
2023-02-08;UP;8168;-13152.589130260953;8168;18.0;189.0;57.0;733.0;0.0
2023-02-08;US;40955;-79888.37305585017;40955;236.0;2248.0;509.0;2518.0;5.0
2023-02-09;GM;2110;-1238.4549671184104;2110;1.0;41.0;10.0;46.0;0.0
2023-02-09;IS;2918;-7538.562511724532;2918;76.0;115.0;42.0;302.0;3.0
2023-02-09;NI;3003;-4922.218064769108;3003;18.0;191.0;33.0;142.0;0.0
2023-02-09;PK;1911;-5332.046451523109;1911;17.0;102.0;51.0;139.0;0.0
2023-02-09;RS;6533;-16025.09025099509;6533;31.0;190.0;74.0;584.0;3.0
2023-02-09;TW;410;-392.2691445909738;410;3.0;5.0;0.0;15.0;0.0
2023-02-09;UP;7626;-12224.903618592383;7626;18.0;117.0;69.0;591.0;0.0
2023-02-09;US;42632;-90873.86206801009;42632;202.0;2625.0;608.0;2663.0;9.0
2023-02-10;GM;1522;-2795.9896462235924;1522;13.0;47.0;15.0;60.0;1.0
2023-02-10;IS;2486;-11324.351282342524;2486;58.0;72.0;53.0;323.0;1.0
2023-02-10;NI;2799;-3073.7087930232574;2799;19.0;134.0;27.0;137.0;0.0
2023-02-10;PK;1758;-3881.946710047119;1758;13.0;79.0;44.0;94.0;0.0
2023-02-10;RS;5799;-17380.819309019156;5799;42.0;196.0;75.0;766.0;1.0
2023-02-10;TW;449;-464.99290323522047;449;1.0;11.0;1.0;21.0;0.0
2023-02-10;UP;5853;-15799.35157373037;5853;13.0;94.0;70.0;844.0;0.0
2023-02-10;US;40869;-90000.81289074161;40869;207.0;2551.0;629.0;2784.0;4.0
2023-02-11;GM;893;-1747.2780480814652;893;5.0;29.0;6.0;44.0;1.0
2023-02-11;IS;1560;-7255.094795772439;1560;68.0;59.0;18.0;320.0;6.0
2023-02-11;NI;2274;-4428.241809199062;2274;15.0;84.0;53.0;145.0;0.0
2023-02-11;PK;1472;-4965.74752114179;1472;22.0;82.0;25.0;96.0;1.0
2023-02-11;RS;3045;-9694.033509406408;3045;17.0;120.0;59.0;369.0;1.0
2023-02-11;TW;332;-302.3336477114628;332;9.0;6.0;1.0;16.0;0.0
2023-02-11;UP;2616;-7406.794350808664;2616;18.0;51.0;46.0;411.0;4.0
2023-02-11;US;25023;-49741.908512208705;25023;130.0;1495.0;354.0;1647.0;0.0
2023-02-12;GM;972;-2140.498781274229;972;5.0;16.0;5.0;46.0;0.0
2023-02-12;IS;2505;-9882.749435496651;2505;65.0;107.0;42.0;407.0;3.0
2023-02-12;NI;2557;-4498.062038426555;2557;22.0;132.0;33.0;125.0;0.0
2023-02-12;PK;1375;-3321.0742573367934;1375;18.0;66.0;24.0;91.0;0.0
2023-02-12;RS;2837;-8500.178100624058;2837;8.0;93.0;51.0;367.0;1.0
2023-02-12;TW;259;84.83007984766535;259;1.0;7.0;0.0;1.0;0.0
2023-02-12;UP;2774;-7336.69936958374;2774;7.0;50.0;52.0;370.0;0.0
2023-02-12;US;17866;-30388.60254346052;17866;97.0;947.0;190.0;1365.0;10.0
2023-02-13;GM;1580;-3231.0393044192597;1580;14.0;82.0;8.0;84.0;0.0
2023-02-13;IS;3768;-16175.50655108573;3768;113.0;175.0;68.0;577.0;8.0
2023-02-13;NI;2904;-3809.85203446294;2904;19.0;130.0;43.0;140.0;0.0
2023-02-13;PK;1874;-4417.689930571529;1874;10.0;107.0;21.0;126.0;3.0
2023-02-13;RS;5156;-16690.257271340273;5156;46.0;215.0;113.0;486.0;1.0
2023-02-13;TW;448;-286.46685289913495;448;2.0;9.0;1.0;20.0;0.0
2023-02-13;UP;4191;-12214.543119878968;4191;13.0;86.0;96.0;444.0;2.0
2023-02-13;US;30890;-55685.79495923144;30890;184.0;1748.0;421.0;2229.0;1.0
2023-02-14;GM;1981;-3295.5507593842703;1981;15.0;54.0;13.0;98.0;0.0
2023-02-14;IS;3821;-13598.933729928358;3821;91.0;170.0;84.0;428.0;8.0
2023-02-14;NI;3137;-4901.051704518558;3137;21.0;236.0;53.0;117.0;0.0
2023-02-14;PK;1750;-5140.872305938334;1750;14.0;81.0;26.0;184.0;0.0
2023-02-14;RS;5527;-16413.501801806364;5527;41.0;238.0;105.0;509.0;2.0
2023-02-14;TW;472;287.4932631077842;472;3.0;13.0;0.0;16.0;0.0
2023-02-14;UP;4931;-11356.756729675388;4931;19.0;98.0;92.0;459.0;0.0
2023-02-14;US;41935;-86592.55807107805;41935;248.0;2270.0;562.0;3250.0;6.0
2023-02-15;GM;2132;-3715.06450695342;2132;21.0;52.0;32.0;71.0;0.0
2023-02-15;IS;3244;-12060.828376127403;3244;53.0;164.0;82.0;364.0;1.0
2023-02-15;NI;3681;-6139.3787236612425;3681;115.0;160.0;87.0;168.0;0.0
2023-02-15;PK;1511;-3317.7442761899106;1511;19.0;66.0;21.0;50.0;2.0
2023-02-15;RS;5975;-17589.0924180725;5975;42.0;227.0;74.0;570.0;0.0
2023-02-15;TW;434;-515.3252696906336;434;0.0;18.0;2.0;23.0;0.0
2023-02-15;UP;5512;-13541.579982436086;5512;23.0;126.0;74.0;612.0;1.0
2023-02-15;US;44281;-89206.13953774776;44281;265.0;2529.0;640.0;3205.0;8.0
2023-02-16;GM;2400;-3461.5723689018223;2400;12.0;59.0;14.0;68.0;0.0
2023-02-16;IS;3973;-11593.169981536634;3973;66.0;157.0;55.0;264.0;5.0
2023-02-16;NI;3732;-5058.864014052153;3732;74.0;118.0;71.0;161.0;1.0
2023-02-16;PK;1950;-5382.441982631517;1950;25.0;89.0;37.0;140.0;1.0
2023-02-16;RS;6135;-20137.769547898344;6135;62.0;236.0;81.0;620.0;4.0
2023-02-16;TW;492;-567.4182067652275;492;3.0;12.0;0.0;18.0;0.0
2023-02-16;UP;6514;-16962.60418037613;6514;27.0;140.0;65.0;712.0;6.0
2023-02-16;US;44591;-97936.21338561171;44591;291.0;2453.0;598.0;2982.0;5.0
2023-02-17;GM;2849;-5218.713536707802;2849;24.0;124.0;20.0;85.0;2.0
2023-02-17;IS;2682;-8820.804917784984;2682;34.0;96.0;40.0;199.0;11.0
2023-02-17;NI;3191;-5604.0672130074345;3191;67.0;137.0;45.0;110.0;2.0
2023-02-17;PK;2027;-7390.281154914853;2027;23.0;102.0;58.0;238.0;0.0
2023-02-17;RS;6449;-20551.42685418185;6449;61.0;282.0;71.0;607.0;4.0
2023-02-17;TW;658;-1260.7927198872449;658;2.0;6.0;0.0;22.0;0.0
2023-02-17;UP;6117;-16496.519810249818;6117;35.0;137.0;68.0;650.0;11.0
2023-02-17;US;43159;-95453.11861931458;43159;228.0;2410.0;549.0;2722.0;8.0
2023-02-18;GM;2830;-4747.696299386759;2830;12.0;63.0;74.0;65.0;0.0
2023-02-18;IS;1847;-6855.500454518338;1847;45.0;99.0;54.0;230.0;0.0
2023-02-18;NI;2400;-4372.100939215859;2400;24.0;82.0;40.0;129.0;0.0
2023-02-18;PK;1871;-6847.323071805936;1871;20.0;72.0;48.0;220.0;0.0
2023-02-18;RS;4985;-16903.742940117696;4985;48.0;167.0;246.0;462.0;2.0
2023-02-18;TW;703;-1002.9895851161984;703;4.0;3.0;2.0;8.0;0.0
2023-02-18;UP;5009;-13802.19159180187;5009;23.0;82.0;208.0;482.0;1.0
2023-02-18;US;26853;-61649.43480369473;26853;125.0;1433.0;405.0;1899.0;2.0
2023-02-19;GM;2425;-5691.957709866792;2425;8.0;43.0;55.0;58.0;2.0
2023-02-19;IS;3082;-11608.989603793814;3082;41.0;123.0;41.0;392.0;2.0
2023-02-19;NI;3026;-4288.104000597499;3026;27.0;136.0;43.0;174.0;0.0
2023-02-19;PK;1606;-5389.804069469109;1606;18.0;83.0;36.0;138.0;1.0
2023-02-19;RS;4647;-15376.579933450792;4647;28.0;132.0;197.0;386.0;0.0
2023-02-19;TW;324;-394.21625308696633;324;3.0;3.0;2.0;2.0;0.0
2023-02-19;UP;4294;-12643.951208792709;4294;18.0;57.0;171.0;396.0;1.0
2023-02-19;US;19721;-38894.967211167925;19721;94.0;939.0;307.0;1712.0;0.0
2023-02-20;GM;2321;-3112.1091331722664;2321;12.0;36.0;38.0;43.0;0.0
2023-02-20;IS;3701;-13636.424796975414;3701;117.0;151.0;55.0;329.0;6.0
2023-02-20;NI;3497;-4531.316418844453;3497;55.0;139.0;47.0;154.0;0.0
2023-02-20;PK;2107;-7234.536075067171;2107;31.0;103.0;55.0;236.0;1.0
2023-02-20;RS;7889;-21606.898285206746;7889;34.0;213.0;128.0;558.0;0.0
2023-02-20;TW;591;-595.1640702090773;591;4.0;9.0;2.0;12.0;0.0
2023-02-20;UP;9691;-19850.642290458203;9691;37.0;93.0;109.0;627.0;0.0
