date;close
2022-01-03;52941.01171875
2022-01-04;53016.78125
2022-01-05;53024.1484375
2022-01-06;53055.30859375
2022-01-07;53202.109375
2022-01-10;52835.76171875
2022-01-11;53061.921875
2022-01-12;53951.140625
2022-01-13;53930.44921875
2022-01-14;53744.921875
2022-01-17;53973.26953125
2022-01-18;53232.19921875
2022-01-19;52823.23046875
2022-01-20;52508.3515625
2022-01-21;51599.37890625
2022-01-24;50890.58984375
2022-01-25;51104.390625
2022-01-26;51037.05078125
2022-01-27;50466.01953125
2022-01-28;50661.859375
2022-01-31;51330.8515625
2022-02-01;51782.671875
2022-02-02;52023.26953125
2022-02-03;51145.109375
2022-02-04;51255.30859375
2022-02-08;52294.578125
2022-02-09;52761.91015625
2022-02-10;52599.578125
2022-02-11;53229.26171875
2022-02-14;52334.73046875
2022-02-15;53210.94140625
2022-02-16;53680.859375
2022-02-17;52712.05859375
2022-02-18;52281.53125
2022-02-21;52025.1796875
2022-02-22;52600.44921875
2022-02-23;51362.94921875
2022-02-24;51454.05078125
2022-02-25;52555.6015625
2022-02-28;53400.609375
2022-03-01;53168.8203125
2022-03-02;53300.66015625
2022-03-03;53528.01171875
2022-03-04;53322.05078125
2022-03-07;52312.609375
2022-03-08;53288.23046875
2022-03-09;53911.76171875
2022-03-10;53387.62109375
2022-03-11;53300.69921875
2022-03-14;52807.62109375
2022-03-15;53010.01171875
2022-03-16;53411.87890625
2022-03-17;54364.51171875
2022-03-18;55467.05859375
2022-03-22;55722.48046875
2022-03-23;55154.6796875
2022-03-24;55829.859375
2022-03-25;55436.05078125
2022-03-28;55685.140625
2022-03-29;56111.2109375
2022-03-30;55814.98828125
2022-03-31;56536.6796875
2022-04-01;56609.5390625
2022-04-04;56313.2109375
2022-04-05;55547.2890625
2022-04-06;55438.73046875
2022-04-07;55280.58984375
2022-04-08;54687.25
2022-04-11;54463.828125
2022-04-12;53907.25
2022-04-13;54172.62109375
2022-04-18;54139.69140625
2022-04-19;54633.76171875
2022-04-20;53831.0390625
2022-04-21;53267.30859375
2022-04-22;53191.78125
2022-04-25;52640.828125
2022-04-26;52512.7109375
2022-04-27;52351.2109375
2022-04-28;52614.171875
2022-04-29;51417.96875
2022-05-02;51887.46875
2022-05-03;51066.55859375
2022-05-04;51432.62890625
2022-05-05;50529.94921875
2022-05-06;49541.80859375
2022-05-09;49057.4609375
2022-05-10;49115.859375
2022-05-11;49276.23046875
2022-05-12;49309.3203125
2022-05-13;49579.8984375
2022-05-16;50563.98046875
2022-05-17;51464.03125
2022-05-18;50394.03125
2022-05-19;51289.91015625
2022-05-20;51518.30078125
2022-05-23;51376.890625
2022-05-24;51304.0390625
2022-05-25;51717.0703125
2022-05-26;52143.0
2022-05-27;52463.55078125
2022-05-30;52162.078125
2022-05-31;51752.53125
2022-06-01;51506.1484375
2022-06-02;50971.37890625
2022-06-03;50689.05078125
2022-06-06;50060.53125
2022-06-07;50139.19921875
